POG,UPC,Product
8386811,76180901681,EVOLVE STN WD EDG BRD BNT
8386811,76180901778,EVOLVE WIDE EDGE STYLER
8386811,76180905375,EVOLVE STYLING BRUSH
8386814,1311461686,ACE 5 INCH POCKET COMB
8386814,4145701279,GOODY FAMILY CMB SET #555
8386814,4145703482,GOODY SMP STY MNI SPN PIN
8386814,4145704115,GOODY SSF TSE LIFT VOL PK
8386814,4145704717,GOODY CLW CLP SLD PRF LRG
8386814,4145710907,GOODY OCHLS 4MM CHOC CK
8386814,4145712670,GOODY BLK PNYTL RBBR BAND
8386814,4145716132,GOODY WMN FOREVER ELSTCS
8386814,4145716712,GOODY BLK NO MTL ELASTICS
8386814,4145716714,GOODY OCHLS NO MTL ELSTCS
8386814,4145716754,GOODY STN SCRNCHS
8386814,4145717869,GOODY SCRNCH CTTN ASSRTD
8386814,4145727117,GOODY 2 SIDE SHVNG MIRROR
8386814,4145743776,GOODY OCHLS BLK ELSTCS
8386814,4145771288,GOODY OCHLS BLK ELASTIC
8386814,4145771289,GOODY OCHLS CLR ELASTIC
8386814,4145771291,GOODY MIN CRYSTAL ELASTIC
8386814,4145776738,GOODY CC BLONDE BOBBY PIN
8386814,4145782065,GOODY MEGA ROLLERS VP
8386814,4319415975,SCNI NO DMG SML BLK ELSTC
8386814,4319415976,SCNI NO DMG BLK MED ELSTC
8386814,4319416160,SCNI EFRTLS SIDE BARRET
8386814,4319416201,SCNI MED HAIR CLIPS
8386814,4319416203,SCNI ASST COLOR SIDE COMB
8386814,4319416264,SCNI NO DMG SML BRT ELSTC
8386814,4319416267,SCNI BLK/CLR/TORT JAW CLP
8386814,4319416775,SCNI NO DMG BLK LRG ELSTC
8386814,4319416776,SCNI NO DMG BRWN LRG ELST
8386814,4319416962,SCNI MEDIUM JAW CLIP
8386814,4319416985,SCNI MINI SCRNCHIE
8386814,4319416988,SCNI SLNKY MN TWSTR SCRCH
8386814,4319416998,SCNI CONTOUR BARRETTE
8386814,4319416999,SCNI CONTOUR BARRETTE
8386814,4319417187,SCNI THICK HAIR JAW CLIP
8386814,4319417278,SCNI NO DMG 4MM BLK PNYTL
8386814,4319417673,SCNI NO DMG FLAT BLK ELTC
8386814,4319417829,SCNI NO DMG 5MM THK ELSTC
8386814,4319417836,SCNI NSG CRWN JAW CLIP
8386814,4319417843,SCNI NSG 8CM OVAL CLIP
8386814,4319417851,SCNI NSG 8.5CM GRIP BRTS
8386814,4319417901,SCNI NSG 3.5CM JW CLP
8386814,4319417902,SCNI NSG CHNKY JAW CLIP
8386814,4319417924,SCNI 9CM THCK HAIR BARETE
8386814,4319420021,SCNI HEAD BAND
8386814,4319421359,SCNI INTERLOCK NTRL 12PK
8386814,4319422534,SCNI KIDS POLYBAND
8386814,4319423019,SCNI HAIR CLIP
8386814,4319425030,SCNI DENIM BARRETTES
8386814,4319432508,SCNI 4MM NYL ELSTC HR TIE
8386814,4319432509,SCNI FINE HAIR NYL ELSTCS
8386814,4319433480,CONR 4MM TXTRD ELSTC 32PK
8386814,4319436159,SCNI NSG OCTOPUS CLIP
8386814,4319436687,SCNI MINI OCTOPUS CLIP
8386814,4319437224,SCNI MED OCTOPUS CLIPS
8386814,4319437347,SCNI NSG HEADBAND
8386814,4319437758,SCUNCI OCTOPUS JAW CLIP
8386814,4319439124,SCNI NSG GALAXY JAW CLIPS
8386814,4319439220,SCNI NSG CHUNKY JAW CLIPS
8386814,4319439704,SCNI EVO/CORE ELASTICS
8386814,4319439971,SCNI RHINESTONE BOBBY PIN
8386814,4319439987,SCNI BARRETT
8386814,4319458323,SCNI HEADWRAPS
8386814,4319458898,SCNI EFRTLS FABRIC HDBAND
8386814,4319460270,SCNI HAIR BOBBY PINS
8386814,4319467403,SCNI NSG BOBBY PINS
8386814,7410855302,CONAIR BLACK BOBBY PINS 6
8386814,7410855961,CONR 60PK SFT TCH BBY PIN
8386814,7410855962,CONR 60PK SFT TCH BBY PIN
8386814,7410877201,CONR VLVT TCH CSHN BRSH
8386814,7410880050,CONR TUNNEL VENT BRUSH
8386814,7410880052,CONR NYLON ALL PURP BRUSH
8386814,7410880058,CONR PRO FULL ROUND BRUSH
8386814,7410880065,CONR PADDLE BRUSH
8386814,7410895224,CONR SCALP MASSAGE BRUSH
8386814,73665859153,WET BRUSH GO GR HR DTNGLR
8386814,73665894710,WET BRUSH DETANGLER ASS
8386814,73665894715,WET BRUSH MINI
8386814,76131802827,RVLN SIG CUSHION BRUSH
8386814,76131802828,RVLN TUNNEL VENT BRUSH
8386814,76131812833,RVLN SIG PADDLE BRUSH
8386814,76131812953,RVLN TRUE RD CUSH BRUSH
8386814,76131823074,RVLN TINY OCTOPUS CLIP
8386814,76131823127,RVLN PIN UP CLIP
8386814,76131823144,RVLN THRML KNIT HEADWRAPS
8386814,76131823160,RVLN LARGE PADDLE BRUSH
8386814,76131823172,RVLN IONIC ROUND BRUSH
8386814,76131823175,RVLN TITANIUM BRSH W/TAIL
8386814,76131823181,RVLN BOAR BLEND BRUSH
8386815,1311461636,ACE FN 5 INCH POCKET COMB
8386815,1311461686,ACE 5 INCH POCKET COMB
8386815,1311462576,ACE COMB W/TAIL
8386815,4145700639,GOODY POCKET COMBS
8386815,4145701107,GOODY SUPER COMB
8386815,4145701279,GOODY FAMILY CMB SET #555
8386815,4145703482,GOODY SMP STY MNI SPN PIN
8386815,4145703697,GOODY ALUM CLIPS 5990
8386815,4145704115,GOODY SSF TSE LIFT VOL PK
8386815,4145704717,GOODY CLW CLP SLD PRF LRG
8386815,4145710907,GOODY OCHLS 4MM CHOC CK
8386815,4145712670,GOODY BLK PNYTL RBBR BAND
8386815,4145715502,GOODY CC SM BLND BOBBY PN
8386815,4145715503,GOODY CC SM BRWN BOBBY PN
8386815,4145716132,GOODY WMN FOREVER ELSTCS
8386815,4145716712,GOODY BLK NO MTL ELASTICS
8386815,4145716714,GOODY OCHLS NO MTL ELSTCS
8386815,4145717869,GOODY SCRNCH CTTN ASSRTD
8386815,4145722058,GOODY OCHLS MED ELASTICS
8386815,4145727117,GOODY 2 SIDE SHVNG MIRROR
8386815,4145727847,GOODY MAKE UP MIRROR 11IN
8386815,4145743776,GOODY OCHLS BLK ELSTCS
8386815,4145771288,GOODY OCHLS BLK ELASTIC
8386815,4145771289,GOODY OCHLS CLR ELASTIC
8386815,4145776738,GOODY CC BLONDE BOBBY PIN
8386815,4145782065,GOODY MEGA ROLLERS VP
8386815,4319415975,SCNI NO DMG SML BLK ELSTC
8386815,4319415976,SCNI NO DMG BLK MED ELSTC
8386815,4319416160,SCNI EFRTLS SIDE BARRET
8386815,4319416201,SCNI MED HAIR CLIPS
8386815,4319416203,SCNI ASST COLOR SIDE COMB
8386815,4319416264,SCNI NO DMG SML BRT ELSTC
8386815,4319416267,SCNI BLK/CLR/TORT JAW CLP
8386815,4319416775,SCNI NO DMG BLK LRG ELSTC
8386815,4319416776,SCNI NO DMG BRWN LRG ELST
8386815,4319416962,SCNI MEDIUM JAW CLIP
8386815,4319416985,SCNI MINI SCRNCHIE
8386815,4319416988,SCNI SLNKY MN TWSTR SCRCH
8386815,4319416998,SCNI CONTOUR BARRETTE
8386815,4319416999,SCNI CONTOUR BARRETTE
8386815,4319417187,SCNI THICK HAIR JAW CLIP
8386815,4319417278,SCNI NO DMG 4MM BLK PNYTL
8386815,4319417673,SCNI NO DMG FLAT BLK ELTC
8386815,4319417829,SCNI NO DMG 5MM THK ELSTC
8386815,4319417836,SCNI NSG CRWN JAW CLIP
8386815,4319417843,SCNI NSG 8CM OVAL CLIP
8386815,4319417851,SCNI NSG 8.5CM GRIP BRTS
8386815,4319417901,SCNI NSG 3.5CM JW CLP
8386815,4319417902,SCNI NSG CHNKY JAW CLIP
8386815,4319417924,SCNI 9CM THCK HAIR BARETE
8386815,4319420021,SCNI HEAD BAND
8386815,4319421359,SCNI INTERLOCK NTRL 12PK
8386815,4319422534,SCNI KIDS POLYBAND
8386815,4319423019,SCNI HAIR CLIP
8386815,4319425030,SCNI DENIM BARRETTES
8386815,4319432508,SCNI 4MM NYL ELSTC HR TIE
8386815,4319432509,SCNI FINE HAIR NYL ELSTCS
8386815,4319433480,CONR 4MM TXTRD ELSTC 32PK
8386815,4319436159,SCNI NSG OCTOPUS CLIP
8386815,4319436687,SCNI MINI OCTOPUS CLIP
8386815,4319437040,SCNI NSG SPLT OVL BBY PIN
8386815,4319437224,SCNI MED OCTOPUS CLIPS
8386815,4319437347,SCNI NSG HEADBAND
8386815,4319437758,SCUNCI OCTOPUS JAW CLIP
8386815,4319438380,SCNI WIDE HEADWRAPS
8386815,4319439124,SCNI NSG GALAXY JAW CLIPS
8386815,4319439220,SCNI NSG CHUNKY JAW CLIPS
8386815,4319439533,SCNI NSG BASIC HEADWRAP
8386815,4319439535,SCNI LUXE N/S HEADWRAP
8386815,4319439704,SCNI EVO/CORE ELASTICS
8386815,4319439971,SCNI RHINESTONE BOBBY PIN
8386815,4319439987,SCNI BARRETT
8386815,4319458323,SCNI HEADWRAPS
8386815,4319458898,SCNI EFRTLS FABRIC HDBAND
8386815,4319460270,SCNI HAIR BOBBY PINS
8386815,4319460363,SCNI PATEL HEADWRAPS
8386815,4319467403,SCNI NSG BOBBY PINS
8386815,4319470803,SCNI MTL TST SNP CLPS
8386815,7410813385,CONR PASTEL SHOWER COMB
8386815,7410855302,CONAIR BLACK BOBBY PINS 6
8386815,7410855961,CONR 60PK SFT TCH BBY PIN
8386815,7410855962,CONR 60PK SFT TCH BBY PIN
8386815,7410872600,CONR GL GRP VENT BRUSH
8386815,7410877201,CONR VLVT TCH CSHN BRSH
8386815,7410880050,CONR TUNNEL VENT BRUSH
8386815,7410880052,CONR NYLON ALL PURP BRUSH
8386815,7410880054,CONR PRO CUSH WIRE BRUSH
8386815,7410880058,CONR PRO FULL ROUND BRUSH
8386815,7410880065,CONR PADDLE BRUSH
8386815,7410880072,CONR PRO ROUND BRUSH
8386815,7410880075,CONR PURSE SIZE BRUSH
8386815,7410887714,CONR IMPSN CSHN BRSH
8386815,7410888743,CONR ALL PURPOSE BRUSH
8386815,7410893500,CONR POCKET COMB
8386815,7410895224,CONR SCALP MASSAGE BRUSH
8386815,7872905700,HT TLS SGNTR EXTR LG BRSH
